student_id,age,gender,cgpa,branch,college_tier,internships_count,projects_count,certifications_count,coding_skill_score,aptitude_score,communication_skill_score,logical_reasoning_score,hackathons_participated,github_repos,linkedin_connections,mock_interview_score,attendance_percentage,backlogs,extracurricular_score,leadership_score,volunteer_experience,sleep_hours,study_hours_per_day,placement_status,salary_package_lpa
1,24,Male,7.53,IT,Tier 2,4,6,1,99.23856840567274,81.70772170173693,57.70716638980549,59.070073153454146,4,1,184,72.64700887636627,77.46386310081202,2,63.38272640588185,52.93824030314367,Yes,6.7,3.6,Not Placed,0.0
2,21,Male,7.92,CSE,Tier 2,1,3,6,80.9661232609562,63.11671526908295,59.197085289440594,78.97641868747745,0,2,539,61.69910966711394,88.88759976820943,1,73.69460493281065,60.19885598211104,No,4.4,2.3,Not Placed,0.0
3,22,Female,8.6,EEE,Tier 1,0,1,1,49.17718444918617,48.65875275661095,92.10488546781846,80.60333054234673,0,2,568,87.39691101190812,74.15326505234614,0,63.329294027130224,43.708803028755995,No,8.8,5.9,Placed,11.99
4,24,Male,6.68,CSE,Tier 1,0,2,2,79.35908372106854,66.37665337924294,83.41179780797805,64.18724631799049,1,1,550,58.401069214515914,87.63595512743032,1,47.63609921757679,56.549154362606316,Yes,8.1,4.4,Not Placed,0.0
5,20,Female,8.43,IT,Tier 3,1,4,3,65.01857285127927,61.274985265060785,88.95633072481112,56.163678498783014,1,4,833,74.48920104676299,79.12074889812209,1,0.0,67.26889310695383,No,8.7,3.4,Placed,12.16
6,22,Male,7.44,CSE,Tier 2,1,5,1,49.75886526642003,45.25259321875782,51.88172756771135,69.98459207162718,3,8,77,66.13857847454406,82.03813940825101,0,54.15081799655481,69.21002193175289,No,9.1,3.4,Placed,11.78
7,22,Male,7.54,CSE,Tier 3,0,2,2,68.8161595865109,63.78719560773928,79.96990962097021,76.54647506965514,0,2,154,56.20749595148287,72.26794515927162,1,79.32313682320728,26.17974566614521,No,8.9,3.1,Not Placed,0.0
8,24,Female,6.86,Civil,Tier 3,3,4,2,87.4719707096049,56.962395478436385,58.13878112081403,66.57945405255619,2,8,98,89.18960089185717,79.12852799786901,1,23.394035876764335,36.90369529531742,Yes,8.8,1.6,Not Placed,0.0
9,19,Male,8.52,Mechanical,Tier 2,2,5,0,100.0,93.98711456819339,75.16514363695146,87.73798583776585,0,7,269,64.03570323074455,89.88494811176926,0,68.59887750806027,42.6471446648104,No,8.5,4.2,Placed,16.33
10,20,Female,8.07,Civil,Tier 2,2,2,2,93.42197207985983,71.37937446227798,57.21519556072288,58.62898467591687,0,6,747,72.21711678780606,88.90110712161626,0,86.19917575941763,1.3718531606911384,No,5.9,4.5,Placed,16.17
11,24,Male,6.09,IT,Tier 2,2,4,4,63.0031712670343,64.50684470793115,65.00567102449027,42.94107329503429,2,1,58,55.123643028913335,77.66075422040744,0,68.46736170631941,47.419074150733266,No,7.7,4.0,Not Placed,0.0
12,20,Male,8.75,CSE,Tier 1,1,1,2,86.48353703188981,56.4866196653763,55.06328429681574,33.22410669235484,0,6,937,69.50250050490135,77.97012844469239,0,78.72710141543502,81.28737473732144,Yes,7.6,3.3,Placed,12.59
13,20,Female,7.53,Civil,Tier 2,2,4,2,62.773294759694686,56.62367605923947,76.4464506408693,66.02823663356538,0,3,979,72.5064140962827,77.7778441811741,0,67.18622769408705,38.981992640990086,No,5.8,4.9,Placed,10.75
14,22,Female,7.14,CSE,Tier 2,1,0,0,44.54372451109498,73.61377308239199,62.56007315610814,58.96200622430285,0,4,142,72.40839003946655,92.33225214898567,1,82.90370783767585,41.08883822361258,Yes,5.0,2.8,Not Placed,0.0
15,21,Male,8.07,CSE,Tier 2,2,2,3,84.63097289998983,100.0,78.3983794646235,42.87649267314812,1,3,560,84.20950784952777,92.07016978749448,0,69.0833633174422,0.9698997049000013,Yes,6.7,5.8,Placed,16.53
16,20,Male,7.97,IT,Tier 2,2,1,0,81.12758665621429,95.59240993201412,69.97919000810371,55.06420389180754,1,3,820,59.07580586442683,98.79391702284875,1,69.51532242500369,40.371436568556064,No,6.5,2.3,Placed,14.67
17,23,Male,7.97,CSE,Tier 1,0,6,1,65.55919525924226,56.14647490296249,57.069469614221255,39.69736624913361,2,7,584,70.60499623417599,65.44220599731365,0,40.397301768739155,38.85006165228266,No,6.6,5.7,Placed,12.74
18,22,Male,8.54,Mechanical,Tier 1,0,4,3,65.90885140419914,58.484450701228425,61.548794561680026,40.473526876290194,2,4,253,82.29684642667435,84.5545141043719,0,61.21524502543877,48.408011021188535,No,9.3,3.1,Not Placed,0.0
19,19,Female,7.06,CSE,Tier 1,3,2,4,84.90546307210772,68.05601654834152,88.39155650063492,79.43756849960853,1,8,756,57.20406831529213,100.0,0,57.155373972465945,74.21999887088802,No,8.4,3.4,Placed,13.26
20,21,Female,7.65,IT,Tier 2,1,2,2,45.65120234228925,75.6985513573058,72.70811691456424,82.92335850295018,1,5,477,69.01685437581422,71.1460613677991,0,91.13827911404113,49.07563964307491,Yes,10.0,2.3,Placed,12.64
21,23,Female,8.38,IT,Tier 1,0,2,3,66.83169014076742,44.94498628745283,55.56135716043812,78.95632114525871,1,3,820,79.42179930537618,81.2783660810868,0,89.41009649971257,44.880400315763126,No,9.0,3.1,Placed,11.69
22,23,Female,8.23,ECE,Tier 3,1,3,1,72.81563666657442,30.362567917865896,59.322556919830305,66.15557353470409,0,6,753,79.8564254974385,83.21187792833388,0,55.34615157459224,44.059775935661975,Yes,8.5,1.8,Not Placed,0.0
23,19,Male,8.24,CSE,Tier 2,1,2,4,71.35429417777176,25.579946359459747,81.43761287834413,62.80152094526742,0,6,768,76.44092468124283,67.50966710230895,0,57.58381264600979,40.67980391327916,No,7.4,3.0,Placed,14.49
24,21,Male,7.69,Civil,Tier 2,1,1,1,66.28681178983966,79.4113650287351,66.8561760249823,61.25309796240833,0,6,489,53.95082631061423,92.98641715272849,0,61.09132029426443,61.204422463905495,No,8.5,3.4,Placed,11.78
25,22,Male,8.14,Mechanical,Tier 2,1,1,3,65.48904648370203,58.78081148402403,66.21816100157334,73.44181196833684,2,4,815,82.71813401360326,89.32104140532618,0,56.06360304681062,62.21348966581377,Yes,5.9,4.2,Placed,12.85
26,18,Female,8.51,Civil,Tier 1,2,5,0,78.25909917565022,61.31812415261769,74.69904189528988,63.55531338899093,1,2,391,64.79418075564932,69.34703753698128,1,46.72874695099367,83.91929104341602,No,7.8,3.3,Placed,15.06
27,21,Female,7.2,IT,Tier 2,1,1,0,54.7674609859687,57.523440481522066,51.84727491208155,44.704317857461305,2,2,739,57.24552014956966,67.78441457024648,1,50.062418917762955,36.13863864310438,Yes,8.4,2.5,Placed,12.09
